"Monitor.ID","Latitude","Longitude","Datum","State.Name","Year","Arithmetic.Mean","Required.Day.Count"
"01-027-0001-88101-1",33.284928,-85.803608,"NAD83","Alabama",2000,16.127619,122
"01-033-1002-88101-1",34.762619,-87.638097,"NAD83","Alabama",2000,15.616038,122
"01-049-1003-88101-1",34.288567,-85.969858,"NAD83","Alabama",2000,17.691489,122
"01-053-0002-88101-1",31.106567,-87.071081,"NAD83","Alabama",2000,16.850435,122
"01-073-0023-88101-1",33.553056,-86.815,"WGS84","Alabama",2000,22.281534,366
"01-073-1005-88101-1",33.331111,-87.003611,"WGS84","Alabama",2000,16.929752,122
"01-073-1009-88101-1",33.459722,-87.305556,"WGS84","Alabama",2000,16.640833,122
"01-073-2003-88101-1",33.499722,-86.924167,"WGS84","Alabama",2000,20.738483,366
"01-073-2006-88101-1",33.386389,-86.816667,"WGS84","Alabama",2000,18.568067,122
"01-073-5002-88101-1",33.704722,-86.669167,"WGS84","Alabama",2000,16.451261,122
"01-073-5003-88101-1",33.801667,-86.9425,"WGS84","Alabama",2000,16.815126,122
"01-089-0014-88101-1",34.687761,-86.586362,"WGS84","Alabama",2000,16.2375,122
"01-097-0002-88101-1",30.76652,-88.075727,"NAD83","Alabama",2000,14.808772,122
"01-097-2005-88101-1",30.474305,-88.141022,"NAD83","Alabama",2000,15.253846,122
"01-101-0007-88101-1",32.42597,-86.285247,"NAD83","Alabama",2000,17.377477,122
"01-113-0001-88101-1",32.472136,-85.005028,"NAD83","Alabama",2000,18.785321,122
"01-117-0006-88101-1",33.312927,-86.821104,"NAD83","Alabama",2000,16.54375,122
"01-119-0002-88101-1",32.36401,-88.201865,"NAD83","Alabama",2000,15.325234,122
"01-121-0002-88101-1",33.27947,-86.349438,"NAD83","Alabama",2000,18.077358,122
"01-125-0003-88101-1",33.217062,-87.538895,"WGS84","Alabama",2000,16.481905,122
"02-020-0044-88101-1",61.181083,-149.817389,"WGS84","Alaska",2000,6.053333,122
"02-090-0010-88101-1",64.840672,-147.722461,"WGS84","Alaska",2000,14.874138,122
"02-110-0004-88101-1",58.388497,-134.567237,"WGS84","Alaska",2000,6.539669,122
"02-110-0026-88101-1",58.358875,-134.510427,"WGS84","Alaska",2000,5.312605,122
"02-170-0008-88101-1",61.534163,-149.031655,"WGS84","Alaska",2000,6.073504,122
"04-003-1005-88101-1",31.3492,-109.539683,"WGS84","Arizona",2000,8.810526,61
"04-005-1008-88101-1",35.206111,-111.652777,"WGS84","Arizona",2000,6.828571,61
"04-013-9990-88101-1",33.39166,-111.926388,"WGS84","Arizona",2000,10.386957,122
"04-013-9992-88101-1",33.476111,-112.199722,"WGS84","Arizona",2000,12.140184,366
"04-013-9997-88101-1",33.503833,-112.095767,"WGS84","Arizona",2000,11.754392,366
"04-021-0001-88101-1",32.877583,-111.752222,"WGS84","Arizona",2000,8.479661,61
"04-021-3002-88101-1",33.421194,-111.503222,"WGS84","Arizona",2000,7.283333,122
"04-023-0004-88101-1",31.337204,-110.936718,"WGS84","Arizona",2000,13.026415,61
"05-031-0001-88101-1",35.838686,-90.708724,"WGS84","Arkansas",2000,14.640741,61
"05-051-0002-88101-1",34.510367,-93.054346,"WGS84","Arkansas",2000,13.15,122
"05-069-0005-88101-1",34.220098,-92.000973,"WGS84","Arkansas",2000,14.992982,61
"05-089-0001-88101-1",36.084239,-92.58683,"WGS84","Arkansas",2000,10.210204,61
"05-107-0001-88101-1",34.529766,-90.586049,"WGS84","Arkansas",2000,14.572321,122
"05-113-0002-88101-1",34.583699,-94.226234,"WGS84","Arkansas",2000,12.345133,122
"05-115-0003-88101-1",35.259775,-93.10005,"WGS84","Arkansas",2000,14.460526,122
"05-119-0007-88101-1",34.756189,-92.281296,"WGS84","Arkansas",2000,15.406528,366
"05-119-1008-88101-1",34.681343,-92.328697,"WGS84","Arkansas",2000,15.606707,366
"05-131-0008-88101-1",35.389672,-94.424288,"WGS84","Arkansas",2000,13.529565,122
"05-139-0004-88101-1",33.214019,-92.668767,"WGS84","Arkansas",2000,14.481443,122
"05-143-0003-88101-1",36.052024,-94.162704,"WGS84","Arkansas",2000,12.607292,122
"06-007-0002-88101-1",39.757371,-121.843286,"WGS84","California",2000,15.754098,61
"06-009-0001-88101-1",38.20185,-120.680277,"NAD83","California",2000,8.984127,61
"06-011-1002-88101-1",39.18919,-121.99887,"NAD83","California",2000,8.201754,122
"06-017-0011-88101-1",38.944979,-119.970609,"WGS84","California",2000,7.881356,61
"06-017-0012-88101-1",38.81161,-120.033084,"WGS84","California",2000,3.754098,122
"06-019-5001-88101-1",36.819449,-119.716433,"NAD83","California",2000,17.218571,91
"06-023-1002-88101-1",40.80178,-124.1621,"WGS84","California",2000,9.268966,61
"06-025-0005-88101-1",32.67618,-115.48307,"NAD83","California",2000,16.582301,122
"06-029-0014-88101-1",35.356615,-119.062613,"NAD83","California",2000,21.831611,366
"06-029-0015-88101-1",35.62109,-117.67296,"WGS84","California",2000,7.656044,122
"06-033-3001-88101-1",39.0327,-122.92229,"WGS84","California",2000,4.315789,61
"06-037-0002-88101-1",34.1365,-117.92391,"WGS84","California",2000,20.054054,366
"06-037-1103-88101-1",34.06659,-118.22688,"WGS84","California",2000,22.018263,366
"06-037-1201-88101-1",34.19925,-118.53276,"WGS84","California",2000,18.100926,122
"06-037-1301-88101-1",33.92899,-118.21071,"WGS84","California",2000,22.982645,122
"06-037-1601-88101-1",34.01407,-118.06056,"WGS84","California",2000,24.112069,122
"06-037-2005-88101-1",34.1326,-118.1272,"WGS84","California",2000,19.310909,122
"06-037-4002-88101-1",33.82376,-118.18921,"WGS84","California",2000,19.164803,366
"06-037-9002-88101-1",34.689985,-118.13285,"WGS84","California",2000,10.50354,122
"06-045-0006-88101-1",39.15047,-123.20655,"WGS84","California",2000,6.97193,61
"06-049-0001-88101-1",41.483225,-120.540234,"WGS84","California",2000,8.62069,61
"06-053-1003-88101-1",36.694261,-121.623271,"NAD83","California",2000,7.710959,61
"06-057-1001-88101-1",39.32783,-120.184592,"NAD83","California",2000,8.837838,122
"06-059-0001-88101-1",33.821353,-117.91427,"WGS84","California",2000,20.999634,366
"06-059-2022-88101-1",33.63003,-117.67593,"WGS84","California",2000,14.726891,122
"06-061-0006-88101-1",38.74643,-121.26498,"NAD83","California",2000,12.271186,61
"06-063-1006-88101-1",39.939567,-120.944376,"NAD83","California",2000,9.009615,122
"06-065-1003-88101-1",33.94603,-117.40063,"WGS84","California",2000,25.445045,122
"06-065-2002-88101-1",33.70853,-116.21537,"WGS84","California",2000,11.225217,122
